SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.1857728659720291
HB_BUSAVG,2017,0.15409213165269228
HB_BUSAVG,2018,0.20025431760641596
HB_BUSAVG,2019,0.24937783449952164
HB_HOUSTON,2016,0.19109873836659264
HB_HOUSTON,2017,0.17047734751575574
HB_HOUSTON,2018,0.20024358737813372
HB_HOUSTON,2019,0.2479460738068007
HB_HUBAVG,2016,0.18795653971215714
HB_HUBAVG,2017,0.15868683659054766
HB_HUBAVG,2018,0.2021210328070987
HB_HUBAVG,2019,0.25064801027903555
HB_NORTH,2016,0.18418051167623464
HB_NORTH,2017,0.15257522475143367
HB_NORTH,2018,0.2001588984033921
HB_NORTH,2019,0.24961847797335193
HB_PAN,2019,0.6316345305022135
HB_SOUTH,2016,0.2090261556542681
HB_SOUTH,2017,0.15614468087549527
HB_SOUTH,2018,0.1986839223168116
HB_SOUTH,2019,0.248980290430912
HB_WEST,2016,0.20884898330524096
HB_WEST,2017,0.24762755114220253
HB_WEST,2018,0.3025116289027921
HB_WEST,2019,0.3366073751506469
